#node	identifier	node_degree
NTF4	9606.ENSP00000469455	7
NTRK1	9606.ENSP00000431418	12
NTRK2	9606.ENSP00000277120	9
OSM	9606.ENSP00000215781	4
OSMR	9606.ENSP00000274276	5
PCK1	9606.ENSP00000319814	1
PCK2	9606.ENSP00000216780	1
PDGFA	9606.ENSP00000346508	33
PDGFB	9606.ENSP00000330382	33
PDGFC	9606.ENSP00000422464	9
PDGFD	9606.ENSP00000376865	7
PDGFRA	9606.ENSP00000257290	15
PDGFRB	9606.ENSP00000261799	17
PDPK1	9606.ENSP00000344220	12
PGF	9606.ENSP00000451040	4
PHLPP1	9606.ENSP00000262719	2
PHLPP2	9606.ENSP00000457991	1
PIK3AP1	9606.ENSP00000339826	8
PIK3CA	9606.ENSP00000263967	83
PIK3CB	9606.ENSP00000501150	61
PIK3CD	9606.ENSP00000366563	25
PIK3CG	9606.ENSP00000419260	33
PIK3R1	9606.ENSP00000428056	93
PIK3R2	9606.ENSP00000222254	65
PIK3R3	9606.ENSP00000262741	30
PIK3R5	9606.ENSP00000392812	28
PIK3R6	9606.ENSP00000480157	25
PKN1	9606.ENSP00000343325	4
PKN2	9606.ENSP00000359552	4
PKN3	9606.ENSP00000291906	3
PPP2CA	9606.ENSP00000418447	28
PPP2CB	9606.ENSP00000221138	21
PPP2R1A	9606.ENSP00000324804	23
PPP2R1B	9606.ENSP00000311344	18
PPP2R2A	9606.ENSP00000325074	15
PPP2R2B	9606.ENSP00000377936	14
PPP2R2C	9606.ENSP00000372042	14
PPP2R2D	9606.ENSP00000399970	14
PPP2R3A	9606.ENSP00000264977	14
PPP2R3B	9606.ENSP00000375080	14
PPP2R3C	9606.ENSP00000261475	1
PPP2R5A	9606.ENSP00000261461	15
PPP2R5B	9606.ENSP00000164133	17
PPP2R5C	9606.ENSP00000412324	19
PPP2R5D	9606.ENSP00000417963	15
PPP2R5E	9606.ENSP00000337641	15
PRKAA1	9606.ENSP00000346148	6
PRKAA2	9606.ENSP00000360290	2
PRKCA	9606.ENSP00000408695	10
PRL	9606.ENSP00000302150	9
PRLR	9606.ENSP00000482954	8
PTEN	9606.ENSP00000361021	8
PTK2	9606.ENSP00000341189	42
RAF1	9606.ENSP00000401888	32
RBL2	9606.ENSP00000262133	10
RELA	9606.ENSP00000384273	12
RELN	9606.ENSP00000392423	0
RHEB	9606.ENSP00000262187	8
RPS6	9606.ENSP00000369757	5
RPS6KB1	9606.ENSP00000225577	9
RPS6KB2	9606.ENSP00000308413	2
RPTOR	9606.ENSP00000307272	10
RXRA	9606.ENSP00000419692	2
SGK1	9606.ENSP00000356832	5
SGK2	9606.ENSP00000340608	6
SGK3	9606.ENSP00000379842	4
SOS1	9606.ENSP00000384675	93
SOS2	9606.ENSP00000216373	7
SPP1	9606.ENSP00000378517	10
STK11	9606.ENSP00000324856	10
SYK	9606.ENSP00000364898	25
TCL1A	9606.ENSP00000451506	4
TCL1B	9606.ENSP00000343223	2
TEK	9606.ENSP00000369375	9
TGFA	9606.ENSP00000404131	16
THBS1	9606.ENSP00000260356	9
THBS2	9606.ENSP00000355751	2
THBS3	9606.ENSP00000357362	3
THBS4	9606.ENSP00000339730	3
THEM4	9606.ENSP00000357804	3
TLR2	9606.ENSP00000260010	2
TLR4	9606.ENSP00000363089	4
TNC	9606.ENSP00000265131	12
TNN	9606.ENSP00000239462	9
TNR	9606.ENSP00000356646	3
TNXB	9606.ENSP00000407685	3
