#node	identifier	node_degree
EMB	9606.ENSP00000302289	1
ENO1	9606.ENSP00000495530	6
ENSP00000496470	9606.ENSP00000496470	2
ENTPD4	9606.ENSP00000351520	0
ERG	9606.ENSP00000414150	1
ERGIC1	9606.ENSP00000377374	1
ERGIC3	9606.ENSP00000349970	1
ETS2	9606.ENSP00000353344	0
EVL	9606.ENSP00000376652	5
EWSR1	9606.ENSP00000400142	10
EZR	9606.ENSP00000338934	13
FADS3	9606.ENSP00000278829	0
FAM107B	9606.ENSP00000181796	0
FAM193B	9606.ENSP00000422131	0
FAU	9606.ENSP00000431822	112
FBRSL1	9606.ENSP00000396160	0
FBXW7	9606.ENSP00000474725	25
FCMR	9606.ENSP00000356058	0
FKBP1A	9606.ENSP00000383003	1
FLII	9606.ENSP00000324573	1
FLNA	9606.ENSP00000358866	7
FLT3	9606.ENSP00000241453	3
FMNL1	9606.ENSP00000329219	4
FNBP4	9606.ENSP00000263773	1
FOS	9606.ENSP00000306245	23
FOSB	9606.ENSP00000245919	6
FPGS	9606.ENSP00000362344	0
FTH1	9606.ENSP00000273550	3
FTL	9606.ENSP00000366525	3
FUBP1	9606.ENSP00000359804	2
FUS	9606.ENSP00000254108	50
FXYD5	9606.ENSP00000444839	0
GAB1	9606.ENSP00000262995	4
GABARAP	9606.ENSP00000306866	4
GADD45B	9606.ENSP00000215631	2
GANAB	9606.ENSP00000340466	7
GAPDH	9606.ENSP00000380070	7
GDI1	9606.ENSP00000394071	1
GDI2	9606.ENSP00000369538	1
GLUL	9606.ENSP00000307900	1
GNA15	9606.ENSP00000262958	6
GNAI2	9606.ENSP00000312999	6
GNAS	9606.ENSP00000360141	4
GNB1	9606.ENSP00000367872	12
GNB2	9606.ENSP00000305260	10
GPAT4	9606.ENSP00000380184	0
GRAMD1A	9606.ENSP00000441032	0
GRASP	9606.ENSP00000293662	0
GRK2	9606.ENSP00000312262	9
GSN	9606.ENSP00000362924	10
GTF2I	9606.ENSP00000460070	4
GUK1	9606.ENSP00000355689	0
H1-0	9606.ENSP00000344504	30
H1-10	9606.ENSP00000329662	22
H1-2	9606.ENSP00000339566	9
H1-3	9606.ENSP00000244534	5
H1-4	9606.ENSP00000307705	25
H1-5	9606.ENSP00000330074	6
H2AC11	9606.ENSP00000352119	38
H2AC12	9606.ENSP00000366679	33
H2AC13	9606.ENSP00000351589	49
H2AC14	9606.ENSP00000328484	48
H2AC16	9606.ENSP00000482538	38
H2AC17	9606.ENSP00000352627	38
H2AC18	9606.ENSP00000358155	56
H2AC20	9606.ENSP00000332194	60
H2AC6	9606.ENSP00000367022	65
H2AC7	9606.ENSP00000341094	53
H2AC8	9606.ENSP00000303373	67
H2AZ1	9606.ENSP00000296417	56
H2BC10	9606.ENSP00000366962	46
H2BC11	9606.ENSP00000476136	65
H2BC12	9606.ENSP00000349430	62
H2BC13	9606.ENSP00000366618	41
H2BC14	9606.ENSP00000477907	56
H2BC17	9606.ENSP00000477527	59
H2BC18	9606.ENSP00000445831	38
H2BC3	9606.ENSP00000482674	64
H2BC4	9606.ENSP00000321744	68
H2BC5	9606.ENSP00000289316	55
H2BC6	9606.ENSP00000489317	46
H2BC7	9606.ENSP00000348924	45
H2BC8	9606.ENSP00000445633	47
H2BC9	9606.ENSP00000479169	55
H3-3A	9606.ENSP00000355780	41
H3-3B	9606.ENSP00000254810	63
H3C10	9606.ENSP00000358160	47
H3C15	9606.ENSP00000385479	58
H3C2	9606.ENSP00000484841	49
H3C3	9606.ENSP00000484658	47
H3C4	9606.ENSP00000366999	47
H3C7	9606.ENSP00000484095	47
H3C8	9606.ENSP00000484638	47
H4C11	9606.ENSP00000347168	60
H4C12	9606.ENSP00000479794	60
H4C13	9606.ENSP00000480960	60
H4C14	9606.ENSP00000462667	61
H4C15	9606.ENSP00000462355	60
H4C2	9606.ENSP00000366974	60
H4C3	9606.ENSP00000367034	61
H4C4	9606.ENSP00000479461	60
H4C5	9606.ENSP00000484789	60
H4C6	9606.ENSP00000244537	112
H4C8	9606.ENSP00000489236	60
HBA1	9606.ENSP00000322421	41
HBA2	9606.ENSP00000251595	41
HBB	9606.ENSP00000494175	8
HBD	9606.ENSP00000494708	5
HBG2	9606.ENSP00000338082	5
HCLS1	9606.ENSP00000320176	3
HDAC1	9606.ENSP00000362649	56
HDAC7	9606.ENSP00000080059	26
HDGF	9606.ENSP00000357189	1
HIF1A	9606.ENSP00000437955	22
HLA-A	9606.ENSP00000379873	24
HLA-B	9606.ENSP00000399168	23
HLA-C	9606.ENSP00000365402	22
HLA-DMA	9606.ENSP00000363976	15
HLA-DMB	9606.ENSP00000398890	15
HLA-DOA	9606.ENSP00000229829	15
HLA-DPA1	9606.ENSP00000393566	21
HLA-DPB1	9606.ENSP00000408146	21
HLA-DQB1	9606.ENSP00000364080	21
HLA-DRA	9606.ENSP00000378786	27
HLA-DRB1	9606.ENSP00000353099	25
HLA-DRB5	9606.ENSP00000364114	22
HLA-E	9606.ENSP00000365817	24
HLA-F	9606.ENSP00000259951	22
HMGA1	9606.ENSP00000399888	4
HMGB1	9606.ENSP00000345347	7
HMGB2	9606.ENSP00000296503	5
HMGN1	9606.ENSP00000370125	1
HMGN2	9606.ENSP00000355228	6
HNRNPA1	9606.ENSP00000341826	45
HNRNPA2B1	9606.ENSP00000346694	33
HNRNPA3	9606.ENSP00000376309	29
HNRNPC	9606.ENSP00000451291	37
HNRNPD	9606.ENSP00000313199	39
HNRNPDL	9606.ENSP00000483254	9
HNRNPF	9606.ENSP00000400433	32
HNRNPH1	9606.ENSP00000349168	47
HNRNPH3	9606.ENSP00000265866	10
HNRNPK	9606.ENSP00000365458	40
HNRNPL	9606.ENSP00000221419	32
HNRNPM	9606.ENSP00000325376	33
HNRNPR	9606.ENSP00000363745	31
HNRNPU	9606.ENSP00000491215	35
HNRNPUL1	9606.ENSP00000375863	9
HP1BP3	9606.ENSP00000403039	0
HPS4	9606.ENSP00000381213	0
HSH2D	9606.ENSP00000482604	0
HSP90AA1	9606.ENSP00000335153	24
HSP90AB1	9606.ENSP00000360609	23
HSP90B1	9606.ENSP00000299767	11
HSPA5	9606.ENSP00000324173	15
HSPA8	9606.ENSP00000437125	38
HSPB1	9606.ENSP00000248553	5
HSPD1	9606.ENSP00000340019	4
ID2	9606.ENSP00000234091	2
IDI1	9606.ENSP00000370748	0
IER2	9606.ENSP00000465617	0
IFI16	9606.ENSP00000357113	3
IFITM2	9606.ENSP00000484689	0
IGLL1	9606.ENSP00000329312	5
IKZF1	9606.ENSP00000331614	6
ILF3	9606.ENSP00000404121	21
INPP5D	9606.ENSP00000405338	2
INPPL1	9606.ENSP00000298229	2
INTS1	9606.ENSP00000385722	3
IQGAP1	9606.ENSP00000268182	12
IRF1	9606.ENSP00000245414	5
IRF2BP2	9606.ENSP00000355568	1
IRF8	9606.ENSP00000268638	1
IST1	9606.ENSP00000438399	0
ITGA4	9606.ENSP00000380227	9
ITGA5	9606.ENSP00000293379	8
ITGA6	9606.ENSP00000386896	10
ITM2B	9606.ENSP00000497221	0
ITM2C	9606.ENSP00000322730	0
JCHAIN	9606.ENSP00000440066	3
JMJD1C	9606.ENSP00000382204	0
JUN	9606.ENSP00000360266	31
JUNB	9606.ENSP00000303315	7
JUND	9606.ENSP00000252818	7
JUP	9606.ENSP00000377508	7
KHDRBS1	9606.ENSP00000313829	14
KHSRP	9606.ENSP00000381216	3
KLF2	9606.ENSP00000248071	0
KLF6	9606.ENSP00000419923	0
KMT2D	9606.ENSP00000301067	20
KMT2E	9606.ENSP00000312379	9
KPNB1	9606.ENSP00000290158	5
LAIR1	9606.ENSP00000375622	1
LAPTM5	9606.ENSP00000294507	1
LAT2	9606.ENSP00000381492	1
LCP1	9606.ENSP00000381581	0
LDHA	9606.ENSP00000445175	3
LEF1	9606.ENSP00000265165	8
LENG8	9606.ENSP00000318374	0
LGALS1	9606.ENSP00000215909	1
LGALS9	9606.ENSP00000378856	1
LILRA2	9606.ENSP00000375618	7
LIMD2	9606.ENSP00000259006	0
LMNB1	9606.ENSP00000261366	4
LRCH4	9606.ENSP00000309689	0
LRMP	9606.ENSP00000346442	0
LRRFIP1	9606.ENSP00000375857	6
LSP1	9606.ENSP00000371194	3
LTB	9606.ENSP00000410481	0
LUC7L3	9606.ENSP00000376919	11
LYZ	9606.ENSP00000261267	0
MACF1	9606.ENSP00000354573	1
MACROH2A1	9606.ENSP00000423563	32
MAN2A2	9606.ENSP00000452948	0
MAN2C1	9606.ENSP00000457788	1
MAPK8IP3	9606.ENSP00000481780	0
MARCKSL1	9606.ENSP00000362638	0
MARS1	9606.ENSP00000262027	1
MAT2A	9606.ENSP00000303147	0
MAZ	9606.ENSP00000219782	0
MBNL1	9606.ENSP00000282486	2
MCAM	9606.ENSP00000264036	3
MCL1	9606.ENSP00000358022	2
MCM5	9606.ENSP00000216122	6
MCM7	9606.ENSP00000307288	6
MDM2	9606.ENSP00000258149	39
MED13L	9606.ENSP00000281928	4
MEF2A	9606.ENSP00000453095	5
MEF2C	9606.ENSP00000340874	4
MEF2D	9606.ENSP00000271555	3
MICAL1	9606.ENSP00000486901	1
MKNK2	9606.ENSP00000250896	0
MLLT6	9606.ENSP00000479910	5
MLXIP	9606.ENSP00000312834	0
MME	9606.ENSP00000418525	0
MORF4L1	9606.ENSP00000331310	5
MPP1	9606.ENSP00000358547	6
MPRIP	9606.ENSP00000379156	1
MSH6	9606.ENSP00000234420	5
MSN	9606.ENSP00000353408	19
MT-ATP6	9606.ENSP00000354632	5
MT-ATP8	9606.ENSP00000355265	4
MT-CO1	9606.ENSP00000354499	12
MT-CO2	9606.ENSP00000354876	4
MT-CYB	9606.ENSP00000354554	11
MT-ND1	9606.ENSP00000354687	10
MT-ND2	9606.ENSP00000355046	10
MT-ND3	9606.ENSP00000355206	10
MT-ND4	9606.ENSP00000354961	10
MT-ND4L	9606.ENSP00000354728	10
MT-ND5	9606.ENSP00000354813	10
MT-ND6	9606.ENSP00000354665	10
MTA1	9606.ENSP00000333633	13
MTA2	9606.ENSP00000278823	10
MTCH1	9606.ENSP00000362730	0
MX1	9606.ENSP00000381601	0
MYB	9606.ENSP00000339992	2
MYH9	9606.ENSP00000216181	19
MYL12A	9606.ENSP00000464359	7
MYL6	9606.ENSP00000446955	12
MYLIP	9606.ENSP00000349298	1
MYO15B	9606.ENSP00000495242	0
MYO18A	9606.ENSP00000437073	8
MYO9B	9606.ENSP00000471457	9
MZB1	9606.ENSP00000303920	1
NACA	9606.ENSP00000448035	45
NAP1L1	9606.ENSP00000477538	6
